sap,desc,familia,usd,costo,precio,marca
"016710983-0000","30315-A","Cónicos","136.08766500000002","1735.12","3470.24","FAG"
"016710991-0000","30316-A","Cónicos","178.83765","2280.18","4560.36","FAG"
"016711009-0000","30317-A","Cónicos","204.20170500000003","2603.57","5207.14","FAG"
"016711017-0000","30318-A","Cónicos","262.47393","3346.54","6693.09","FAG"
"016711025-0000","30319-A","Cónicos","339.714945","4331.37","8662.73","FAG"
"016711033-0000","30320-A","Cónicos","384.35415000000006","4900.52","9801.03","FAG"
"078978769-0000","30321-XL","Cónicos","512.348805","6532.45","13064.89","FAG"
"016711475-0000","32004-X","Cónicos","10.735365000000002","136.88","273.75","FAG"
"085847410-0000","32004-X-XL","Cónicos","10.735365000000002","136.88","273.75","FAG"
"016711491-0000","32005-X","Cónicos","12.522465","159.66","319.32","FAG"
"039226395-0000","32005-XDY","Cónicos","12.522465","159.66","319.32","FAG"
"085585190-0000","32005-X-XL","Cónicos","12.522465","159.66","319.32","FAG"
"016711513-0000","32006-X","Cónicos","15.037169999999998","191.72","383.45","FAG"
"082242836-0000","32006-X-XL","Cónicos","15.037169999999998","191.72","383.45","FAG"
"016711521-0000","32007-CZ","Cónicos","15.905190000000001","202.79","405.58","FAG"
"016711530-0000","32007-X","Cónicos","15.905190000000001","202.79","405.58","FAG"
"039226417-0000","32007-XDY","Cónicos","15.905190000000001","202.79","405.58","FAG"
"092536476-0000","32007-XDY-XL","Cónicos","15.905190000000001","202.79","405.58","FAG"
"019053410-0000","32007-X-P5","Cónicos","41.3586","527.32","1054.64","FAG"
"016711548-0000","32008-XA","Cónicos","17.207220000000003","219.39","438.78","FAG"
"039226425-0000","32008-XDY","Cónicos","17.207220000000003","219.39","438.78","FAG"
"078381630-0000","32008-X-XL","Cónicos","17.207220000000003","219.39","438.78","FAG"
"078955882-0000","32008-X-XL-P5","Cónicos","39.3162","501.28","1002.56","FAG"
"016711564-0000","32009-XA","Cónicos","18.496485","235.83","471.66","FAG"
"039226433-0000","32009-XDY","Cónicos","18.496485","235.83","471.66","FAG"
"079157084-0000","32009-X-XL","Cónicos","18.496485","235.83","471.66","FAG"
"085985171-0000","32009-X-XL-P5","Cónicos","47.00073","599.26","1198.52","FAG"
"016711602-0000","32010-X","Cónicos","24.61092","313.79","627.58","FAG"
"039226441-0000","32010-XDY","Cónicos","24.61092","313.79","627.58","FAG"
"084911441-0000","32010-X-XL","Cónicos","24.61092","313.79","627.58","FAG"
"016711629-0000","32011-X","Cónicos","26.997975000000004","344.22","688.45","FAG"
"039239721-0000","32011-XDY","Cónicos","26.997975000000004","344.22","688.45","FAG"
"019053495-0000","32011-X-P5","Cónicos","50.000505000000004","637.51","1275.01","FAG"
"083121277-0000","32011-X-XL","Cónicos","26.997975000000004","344.22","688.45","FAG"
"083121650-0000","32011-X-XL-P5","Cónicos","50.000505000000004","637.51","1275.01","FAG"
"016711637-0000","32012-X","Cónicos","30.125400000000003","384.1","768.2","FAG"
"039239730-0000","32012-XDY","Cónicos","30.125400000000003","384.1","768.2","FAG"
"079206360-0000","32012-X-XL","Cónicos","30.125400000000003","384.1","768.2","FAG"
"082801258-0000","32012-X-XL-P5","Cónicos","55.821345","711.72","1423.44","FAG"
